created_ts,process_id,file_id,status,contract_id,served_itsi,served_cc,served_nc,served_msisdn,org_level_main,org_sublevel1,org_sublevel2,org_sublevel3,org_sublevel4,org_sublevel5,other_party_type,other_party,other_party_itsi,other_party_cc,other_party_nc,dialled_number,call_ref,source_dxt,dxt_seq_nr,connected_number,connected_nitsi,connection_group,served_party_dxt_id,a_location_area,a_cell_id,sds_service_type,sds_type,sds_length,sds_timestamp,cells_distributed,cells_reached,dispatchers_reached,sds_result,ss_records,num_groups,part_group1,part_group2,part_group3,part_group4,part_group5,part_group6,part_group7,part_group8,event_time_hour,call_type,forward_number,trans_forw_number,trans_rep_flag,message_reference,sending_profile,target_dxt_id,target_loc_area,target_channel_type,sdstl_protocol_id,diagnostics
2017-10-15 13:58:57.5,11,1030,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64103F10,123123,38325,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,136,2017-10-11 17:15:25.67,1,1,0,0,,,"","","","","","","","",2017-10-11 17:00:00,SDS,"","",0,217,-1,123123,1003,1,130,0
2017-10-15 13:58:57.63,11,1030,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64103FCC,123123,38534,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-11 17:15:37.27,1,1,0,0,,,"","","","","","","","",2017-10-11 17:00:00,SDS,"","",1,215,-1,123123,1003,1,130,0
2017-10-15 14:00:54.97,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E19AB,123123,11572,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-11 14:25:50.81,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",1,205,-1,123123,1003,1,130,0
2017-10-15 14:00:55.24,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E1B69,123123,12072,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,152,2017-10-11 14:26:24.78,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",0,226,-1,123123,1003,0,130,0
2017-10-15 14:00:55.36,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E1C35,123123,12292,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-11 14:26:39.32,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",1,206,-1,123123,1003,1,130,0
2017-10-15 14:00:55.53,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E1D53,123123,12608,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,152,2017-10-11 14:27:01.49,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",0,227,-1,123123,1003,1,130,0
2017-10-15 14:00:55.77,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E1ED9,123123,13041,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-11 14:27:30.04,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",1,207,-1,123123,1003,1,130,0
2017-10-15 14:00:56.3,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E2233,123123,14005,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,384,2017-10-11 14:28:34.77,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",0,228,-1,123123,1003,1,130,0
2017-10-15 14:00:56.44,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E2311,123123,14247,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-11 14:28:50.73,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",1,208,-1,123123,1003,1,130,0
2017-10-15 14:00:57.65,11,1035,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,640E2A92,123123,16382,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,992,2017-10-11 14:31:15.61,1,1,0,0,,,"","","","","","","","",2017-10-11 14:00:00,SDS,"","",0,229,-1,123123,1003,1,130,0
